code,name,gdp,population
110000,北京市,43760.7000 ,2185.8000 
120000,天津市,16737.3000 ,1363.0000 
130100,石家庄市,7534.2000 ,1123.3500 
130200,唐山市,9133.3000 ,771.9500 
130300,秦皇岛市,1909.5200 ,309.8100 
130400,邯郸市,4382.2000 ,917.3100 
130500,邢台市,2546.9000 ,702.5600 
133100,雄安新区,120.5400 ,129.0000 
130600,保定市,3880.3000 ,914.4000 
130700,张家口市,1842.7000 ,405.0100 
130800,承德市,1780.2000 ,335.4400 
130900,沧州市,4440.1000 ,726.4600 
131000,廊坊市,3608.3000 ,547.8000 
131100,衡水市,1800.5000 ,416.6500 
140100,太原市,5571.1700 ,543.5000 
140200,大同市,1842.5000 ,310.0000 
140300,阳泉市,1012.9000 ,131.1100 
140400,长治市,2804.8000 ,314.2000 
140500,晋城市,2305.4000 ,218.9300 
140600,朔州市,1536.2000 ,159.0700 
140700,晋中市,2090.9000 ,337.6503 
140800,运城市,2329.9000 ,470.5600 
140900,忻州市,1443.6000 ,263.4700 
141000,临汾市,2227.9000 ,390.6600 
141100,吕梁市,2366.0800 ,334.6500 
150100,呼和浩特市,3801.5500 ,360.4100 
150200,包头市,4263.9000 ,276.1700 
150300,乌海市,803.3200 ,56.0200 
150400,赤峰市,2197.5000 ,396.7000 
150500,通辽市,1561.8000 ,283.4600 
150600,鄂尔多斯市,5849.8600 ,220.0300 
150700,呼伦贝尔市,1536.0200 ,219.0700 
150800,巴彦淖尔市,1084.6000 ,151.8000 
150900,乌兰察布市,1084.6000 ,160.4800 
152200,兴安盟,702.8000 ,138.4900 
152500,锡林郭勒盟,1184.7800 ,111.6500 
152900,阿拉善盟,407.3000 ,26.9000 
210100,沈阳市,8122.1000 ,920.4000 
210200,大连市,8430.9000 ,751.0000 
210300,鞍山市,1863.2000 ,332.5400 
210400,抚顺市,927.7000 ,178.6000 
210500,本溪市,930.8000 ,132.6000 
210600,丹东市,890.7000 ,211.6000 
210700,锦州市,1253.4000 ,270.3900 
210800,营口市,1431.6000 ,228.6000 
210900,阜新市,577.7000 ,164.7300 
211000,辽阳市,891.8000 ,154.3000 
211100,盘锦市,1382.1000 ,138.9700 
211200,铁岭市,754.2000 ,238.8300 
211300,朝阳市,995.0000 ,279.8000 
211400,葫芦岛市,870.6000 ,243.4200 
